epoch,lr,train_time[sec],train_loss,train_acc@1,train_f1s,val_time[sec],val_loss,val_acc@1,val_f1s
0.0,0.003,38.0,0.5728954643024342,83.00237107291049,0.8298845410564999,28.0,0.14223493075370788,95.31666666666666,0.9531716605656264
1.0,0.003,38.0,0.1827513426608529,94.54097510373444,0.9454255728066379,28.0,0.0898246095776558,97.38333333333334,0.9738377923606082
2.0,0.003,38.0,0.1653282606171551,95.31157379964434,0.9531179536283707,28.0,0.07805899147192637,97.48333333333333,0.9748036706100249
3.0,0.003,38.0,0.10383499689537107,96.86203319502074,0.9686259626230067,28.0,0.0656560030579567,97.91666666666667,0.979178283039313
4.0,0.003,38.0,0.08072628410313351,97.51593064611737,0.975160081760017,28.0,0.08085716428359349,97.58333333333333,0.9758144394695638
5.0,0.003,38.0,0.0719941288550789,97.84565797273267,0.9784566767469316,28.0,0.06088215639193853,98.26666666666667,0.982637838727821
6.0,0.003,38.0,0.0654953028642361,98.05497925311204,0.9805516163695722,28.0,0.047678116579850514,98.51666666666667,0.9851564257794305
7.0,0.003,38.0,0.05681548096906453,98.34951096621221,0.9834942989294859,28.0,0.05787502580881119,98.51666666666667,0.9851663693282223
8.0,0.003,38.0,0.045451850153916534,98.64959988144635,0.986496042319654,28.0,0.04518206739425659,98.75,0.987508858604965
9.0,0.003,38.0,0.04619463711477944,98.64219027860106,0.986422555825615,28.0,0.033288620193799336,98.96666666666667,0.9896603878190259
10.0,0.003,38.0,0.04237428034595576,98.75148192056906,0.9875151659124863,28.0,0.053521442274252574,98.46666666666667,0.9846779111609816
11.0,0.003,38.0,0.03796915407333949,98.84410195613515,0.988440490677182,28.0,0.04250715045134226,98.83333333333333,0.9883324561731482
12.0,0.003,38.0,0.028538919546959945,99.13863366923533,0.99138629060242,28.0,0.05072625188032786,98.7,0.9869918661832651
13.0,0.003,38.0,0.03374754369952266,98.96080320094843,0.989607817453017,28.0,0.039846536934375766,98.81666666666666,0.9881683470667498
14.0,0.003,38.0,0.025407687079649424,99.24977771191465,0.9924978801555419,28.0,0.05221465071042379,98.73333333333333,0.9873359145861654
15.0,0.003,38.0,0.02709963581804683,99.17753408417309,0.9917763801297527,28.0,0.04844459929068883,98.56666666666666,0.9856669230787618
16.0,0.003,38.0,0.022647759932903192,99.31090693538826,0.9931088329942425,28.0,0.0539900392194589,98.61666666666666,0.9861665093970388
17.0,0.003,38.0,0.024484997159217897,99.26274451689389,0.992627987095584,28.0,0.04965814941128095,98.65,0.986491456274519
18.0,0.003,38.0,0.026578249199736573,99.29608772969769,0.9929616813572238,28.0,0.046729411651690804,98.95,0.9894992944235463
19.0,0.003,38.0,0.016902258424237416,99.46836099585062,0.9946837372278832,28.0,0.04414268366495768,98.96666666666667,0.9896658458835269
20.0,0.003,38.0,0.02222886987245257,99.38685536455246,0.993868423228706,28.0,0.04314721152186394,98.95,0.9895059592890018
21.0,0.003,38.0,0.018074161656836858,99.41834617664493,0.9941833629442426,28.0,0.05093368945519129,98.93333333333334,0.9893332026213082
22.0,0.003,38.0,0.015630283685004704,99.47391819798459,0.9947393844569039,28.0,0.05328231198589007,98.98333333333333,0.9898305547534679
23.0,0.003,38.0,0.017602775524418402,99.46836099585062,0.9946834763444992,28.0,0.05025648039579392,99.05,0.9904962898909174
24.0,0.003,38.0,0.018968139032716793,99.47021339656195,0.9947020202672684,28.0,0.04454788429538409,98.95,0.9895003189473505
25.0,0.003,38.0,0.0131766709242906,99.59432424422052,0.9959431966879718,28.0,0.047407134314378103,98.98333333333333,0.9898189685147336
26.0,0.003,38.0,0.015564288202315464,99.56098103141672,0.9956096698416352,28.0,0.05091216663519541,98.85,0.9885034805094621
27.0,0.003,38.0,0.01466196497060937,99.54801422643746,0.9954801448792786,28.0,0.05408567340672016,98.78333333333333,0.9878428596165479
28.0,0.003,38.0,0.015433857274155072,99.5257854179016,0.9952573939493237,28.0,0.04110964725414912,99.01666666666667,0.9901678421031628
29.0,0.003,38.0,0.012906685398939046,99.65545346769413,0.9965545637620137,28.0,0.05234581948320071,98.83333333333333,0.9883202550971001
30.0,0.003,38.0,0.011733737647081834,99.66842027267339,0.9966841176677097,28.0,0.045080627719561256,98.93333333333334,0.9893403354833656
31.0,0.003,38.0,0.012904665504499969,99.59802904564316,0.9959804091817881,28.0,0.045103950346509616,98.9,0.9889995311141474
